locus_id,gene,product,EC_number,extremophile
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,Electron transfer flavoprotein-ubiquinone oxidoreductase,1.5.5.1,Acidithiobacillus
NC_011761.1,acrA,Acryloyl-CoA reductase electron transfer subunit beta,,Acidithiobacillus
NC_011761.1,acrB,Acryloyl-CoA reductase electron transfer subunit gamma,,Acidithiobacillus
NC_011761.1,yjbI_1,Group 2 truncated hemoglobin YjbI,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,exbD_3,Biopolymer transport protein ExbD,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,btuF_1,Vitamin B12-binding protein,,Acidithiobacillus
NC_011761.1,,putative ABC transporter permease protein,,Acidithiobacillus
NC_011761.1,,putative ABC transporter ATP-binding protein,,Acidithiobacillus
NC_011761.1,fecA_1,Fe(3+) dicitrate transport protein FecA precursor,,Acidithiobacillus
NC_011761.1,modA,Molybdate-binding periplasmic protein precursor,,Acidithiobacillus
NC_011761.1,btuF_2,Vitamin B12-binding protein precursor,,Acidithiobacillus
NC_011761.1,,putative ABC transporter permease protein,,Acidithiobacillus
NC_011761.1,,putative cation efflux system protein/MT2084,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,glpE_4,Thiosulfate sulfurtransferase GlpE,2.8.1.1,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,nifW,Nitrogenase-stabilizing/protective protein NifW,,Acidithiobacillus
NC_011761.1,cysE_2,Serine acetyltransferase,2.3.1.30,Acidithiobacillus
NC_011761.1,leuA_1,2-isopropylmalate synthase,2.3.3.13,Acidithiobacillus
NC_011761.1,nifS_1,Cysteine desulfurase,2.8.1.7,Acidithiobacillus
NC_011761.1,nifU_2,NifU-like protein,,Acidithiobacillus
NC_011761.1,erpA_1,Iron-sulfur cluster insertion protein ErpA,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,fdxB,Ferredoxin-3,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,nifB_1,FeMo cofactor biosynthesis protein NifB,,Acidithiobacillus
NC_011761.1,nifK,Nitrogenase molybdenum-iron protein beta chain,1.18.6.1,Acidithiobacillus
NC_011761.1,nifD_1,Nitrogenase molybdenum-iron protein alpha chain,1.18.6.1,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,nifK1,Nitrogenase molybdenum-iron protein beta chain,1.18.6.1,Acidithiobacillus
NC_011761.1,nifD_2,Nitrogenase molybdenum-iron protein alpha chain,1.18.6.1,Acidithiobacillus
NC_011761.1,nifH,Nitrogenase iron protein,1.18.6.1,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,draT,NAD(+)--dinitrogen-reductase ADP-D-ribosyltransferase,2.4.2.37,Acidithiobacillus
NC_011761.1,draG,ADP-ribosyl-[dinitrogen reductase] glycohydrolase,3.2.2.24,Acidithiobacillus
NC_011761.1,nifA,Nif-specific regulatory protein,,Acidithiobacillus
NC_011761.1,nifB_2,FeMo cofactor biosynthesis protein NifB,,Acidithiobacillus
NC_011761.1,fer1,Ferredoxin-1,,Acidithiobacillus
NC_011761.1,iscA_2,Iron-binding protein IscA,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,nifS_2,Cysteine desulfurase,2.8.1.7,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,arnB,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,2.6.1.87,Acidithiobacillus
NC_011761.1,fdx_2,2Fe-2S ferredoxin,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,nadC_1,putative nicotinate-nucleotide pyrophosphorylase [carboxylating],2.4.2.19,Acidithiobacillus
NC_011761.1,mopII,Molybdenum-pterin-binding protein 2,,Acidithiobacillus
NC_011761.1,gabD,Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,1.2.1.79,Acidithiobacillus
NC_011761.1,yjbI_2,Group 2 truncated hemoglobin YjbI,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,kdgK,2-dehydro-3-deoxygluconokinase,2.7.1.45,Acidithiobacillus
NC_011761.1,mfpsA_2,Mannosylfructose-phosphate synthase,2.4.1.246,Acidithiobacillus
NC_011761.1,mfpsA_3,Mannosylfructose-phosphate synthase,2.4.1.246,Acidithiobacillus
NC_011761.1,ogt,Methylated-DNA--protein-cysteine methyltransferase,2.1.1.63,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,tRNA-Val(cac),,Acidithiobacillus
NC_011761.1,,Putative prophage phiRv2 integrase,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,dnaC_1,DNA replication protein DnaC,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,dpnM,Modification methylase DpnIIA,2.1.1.72,Acidithiobacillus
NC_011761.1,ssb_2,Single-stranded DNA-binding protein,,Acidithiobacillus
NC_011761.1,recD_1,RecBCD enzyme subunit RecD,3.1.11.5,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,hsdR_3,Type-1 restriction enzyme R protein,3.1.21.3,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,putative type I restriction enzymeP M protein,2.1.1.72,Acidithiobacillus
NC_011761.1,,Ribonuclease VapC32,3.1.-.-,Acidithiobacillus
NC_011761.1,,Antitoxin VapB32,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,ihfA_2,Integration host factor subunit alpha,,Acidithiobacillus
NC_011761.1,hupB_2,DNA-binding protein HRm,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,ihfA_3,Integration host factor subunit alpha,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,dinJ,Antitoxin DinJ,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,aas,Bifunctional protein Aas,6.2.1.20,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,ybhR_1,Inner membrane transport permease YbhR,,Acidithiobacillus
NC_011761.1,ybhS_1,Inner membrane transport permease YbhS,,Acidithiobacillus
NC_011761.1,ybhF_1,putative ABC transporter ATP-binding protein YbhF,,Acidithiobacillus
NC_011761.1,ybhF_2,putative ABC transporter ATP-binding protein YbhF,,Acidithiobacillus
NC_011761.1,mdtN,Multidrug resistance protein MdtN,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,traC,DNA primase TraC,2.7.7.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,Type IV secretion system protein VirB11,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,virB4,Type IV secretion system protein virB4,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,mucD_2,putative periplasmic serine endoprotease DegP-like precursor,3.4.21.107,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,hspA,Spore protein SP21,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,garR,2-hydroxy-3-oxopropionate reductase,1.1.1.60,Acidithiobacillus
NC_011761.1,fdhF_2,Formate dehydrogenase H,1.1.99.33,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,fdhD_2,Protein FdhD,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,mmoC,Methane monooxygenase component C,1.14.13.25,Acidithiobacillus
NC_011761.1,hcp,Hydroxylamine reductase,1.7.-.-,Acidithiobacillus
NC_011761.1,ntcA,Global nitrogen regulator,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,nuoL_1,NADH-quinone oxidoreductase subunit L,1.6.99.5,Acidithiobacillus
NC_011761.1,lutA_1,Lactate utilization protein A,,Acidithiobacillus
NC_011761.1,,putative FAD-linked oxidoreductase,1.-.-.-,Acidithiobacillus
NC_011761.1,,putative FAD-linked oxidoreductase,1.-.-.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,xfp,Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase,4.1.2.22,Acidithiobacillus
NC_011761.1,kipR,HTH-type transcriptional regulator KipR,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,pyrC_2,Dihydroorotase,3.5.2.3,Acidithiobacillus
NC_011761.1,ilvD_2,Dihydroxy-acid dehydratase,4.2.1.9,Acidithiobacillus
NC_011761.1,ywlC_1,Threonylcarbamoyl-AMP synthase,2.7.7.87,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,bioD_2,ATP-dependent dethiobiotin synthetase BioD,6.3.3.3,Acidithiobacillus
NC_011761.1,fbaA,putative fructose-bisphosphate aldolase,4.1.2.13,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,nirQ_1,Denitrification regulatory protein NirQ,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,parA_1,Chromosome partitioning protein ParA,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,bfr,Bacterioferritin,1.16.3.1,Acidithiobacillus
NC_011761.1,csoS1A_1,Major carboxysome shell protein 1A,,Acidithiobacillus
NC_011761.1,csoS1A_2,Major carboxysome shell protein 1A,,Acidithiobacillus
NC_011761.1,csoS1A_3,Major carboxysome shell protein 1A,,Acidithiobacillus
NC_011761.1,eutN_1,Ethanolamine utilization protein EutN,,Acidithiobacillus
NC_011761.1,eutN_2,Ethanolamine utilization protein EutN,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,cbbS1_1,Ribulose bisphosphate carboxylase small chain 1,4.1.1.39,Acidithiobacillus
NC_011761.1,cbbL_1,Ribulose bisphosphate carboxylase large chain,4.1.1.39,Acidithiobacillus
NC_011761.1,cmpR_5,HTH-type transcriptional activator CmpR,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,Type IV secretion system protein virB10,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,virB1,Type IV secretion system protein virB1,,Acidithiobacillus
NC_011761.1,traG_1,Conjugal transfer protein TraG,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,gmr_1,Cyclic di-GMP phosphodiesterase Gmr,3.1.4.52,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,gmr_2,Cyclic di-GMP phosphodiesterase Gmr,3.1.4.52,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,cls_2,Cardiolipin synthase,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,spo0C,Chromosome-partitioning protein Spo0J,,Acidithiobacillus
NC_011761.1,soj_1,Sporulation initiation inhibitor protein Soj,3.6.-.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,yhdN_2,General stress protein 69,1.1.1.-,Acidithiobacillus
NC_011761.1,gmr_3,Cyclic di-GMP phosphodiesterase Gmr,3.1.4.52,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,hicB,Antitoxin HicB,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,topB_2,DNA topoisomerase 3,5.99.1.2,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,ywiE,putative cardiolipin synthase YwiE,2.7.8.-,Acidithiobacillus
NC_011761.1,acoR_2,Acetoin catabolism regulatory protein,,Acidithiobacillus
NC_011761.1,acoD_1,Acetaldehyde dehydrogenase 2,1.2.1.3,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,paiB_1,Protease synthase and sporulation protein PAI 2,,Acidithiobacillus
NC_011761.1,yedK,Putative SOS response-associated peptidase YedK,3.4.-.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,lexA_1,LexA repressor,3.4.21.88,Acidithiobacillus
NC_011761.1,dinB_1,DNA polymerase IV,2.7.7.7,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,kup,Low affinity potassium transport system protein kup,,Acidithiobacillus
NC_011761.1,ybaQ_2,putative HTH-type transcriptional regulator YbaQ,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,mutS,DNA mismatch repair protein MutS,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,epsD,Putative glycosyltransferase EpsD,2.4.-.-,Acidithiobacillus
NC_011761.1,yccA,Modulator of FtsH protease YccA,,Acidithiobacillus
NC_011761.1,exoX,Exodeoxyribonuclease 10,3.1.11.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,mutS2_2,Endonuclease MutS2,,Acidithiobacillus
NC_011761.1,,putative FAD-linked oxidoreductase,1.-.-.-,Acidithiobacillus
NC_011761.1,panC,Pantothenate synthetase,6.3.2.1,Acidithiobacillus
NC_011761.1,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,2.1.2.11,Acidithiobacillus
NC_011761.1,dgk,Deoxyguanosine kinase,2.7.1.113,Acidithiobacillus
NC_011761.1,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,2.7.6.3,Acidithiobacillus
NC_011761.1,pcnB_1,Poly(A) polymerase I precursor,2.7.7.19,Acidithiobacillus
NC_011761.1,pcnB_2,Poly(A) polymerase I precursor,2.7.7.19,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,guaB,Inosine-5'-monophosphate dehydrogenase,1.1.1.205,Acidithiobacillus
NC_011761.1,guaA,GMP synthase [glutamine-hydrolyzing],6.3.5.2,Acidithiobacillus
NC_011761.1,fitA,Antitoxin FitA,,Acidithiobacillus
NC_011761.1,fitB_3,Toxin FitB,3.1.-.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,yveA_2,Aspartate-proton symporter,,Acidithiobacillus
NC_011761.1,proB_2,Glutamate 5-kinase,2.7.2.11,Acidithiobacillus
NC_011761.1,,putative MscS family protein.1 precursor,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,ywlC_2,Threonylcarbamoyl-AMP synthase,2.7.7.87,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,trpS,Tryptophan--tRNA ligase,6.1.1.2,Acidithiobacillus
NC_011761.1,scpA,Segregation and condensation protein A,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,yjlD_1,NADH dehydrogenase-like protein YjlD,1.6.99.-,Acidithiobacillus
NC_011761.1,rluB_1,Ribosomal large subunit pseudouridine synthase B,5.4.99.22,Acidithiobacillus
NC_011761.1,pdg,Ultraviolet N-glycosylase/AP lyase,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,emrB_2,Multidrug export protein EmrB,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,malP_2,Maltodextrin phosphorylase,2.4.1.1,Acidithiobacillus
NC_011761.1,eno_2,Enolase,4.2.1.11,Acidithiobacillus
NC_011761.1,pyk,Pyruvate kinase,2.7.1.40,Acidithiobacillus
NC_011761.1,fbaB,Fructose-bisphosphate aldolase class 1,4.1.2.13,Acidithiobacillus
NC_011761.1,noxE,NADH oxidase,1.6.99.3,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,pfkB,6-phosphofructokinase isozyme 2,2.7.1.11,Acidithiobacillus
NC_011761.1,pta,Phosphate acetyltransferase,2.3.1.8,Acidithiobacillus
NC_011761.1,ygcS_1,Inner membrane metabolite transport protein YgcS,,Acidithiobacillus
NC_011761.1,ackA,Acetate kinase,2.7.2.1,Acidithiobacillus
NC_011761.1,pdhC,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,2.3.1.12,Acidithiobacillus
NC_011761.1,bkdB,3-methyl-2-oxobutanoate dehydrogenase subunit beta,1.2.4.4,Acidithiobacillus
NC_011761.1,acoA_1,Acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit alpha,1.1.1.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,gpmI_2,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,5.4.2.12,Acidithiobacillus
NC_011761.1,ppsA,Phosphoenolpyruvate synthase,2.7.9.2,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,RlpA-like protein precursor,,Acidithiobacillus
NC_011761.1,dapE,Succinyl-diaminopimelate desuccinylase,3.5.1.18,Acidithiobacillus
NC_011761.1,dapD,2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase,2.3.1.117,Acidithiobacillus
NC_011761.1,dapL,LL-diaminopimelate aminotransferase,2.6.1.83,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,gph_1,Phosphoglycolate phosphatase,3.1.3.18,Acidithiobacillus
NC_011761.1,ubiG_3,Ubiquinone biosynthesis O-methyltransferase,2.1.1.222,Acidithiobacillus
NC_011761.1,mtaD,5-methylthioadenosine/S-adenosylhomocysteine deaminase,3.5.4.28,Acidithiobacillus
NC_011761.1,mltB,Membrane-bound lytic murein transglycosylase B precursor,4.2.2.-,Acidithiobacillus
NC_011761.1,mepH_1,Murein DD-endopeptidase MepH precursor,3.4.-.-,Acidithiobacillus
NC_011761.1,,tRNA-Asn(gtt),,Acidithiobacillus
NC_011761.1,mlaC_2,putative phospholipid-binding protein MlaC precursor,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,rpoS_2,RNA polymerase sigma factor RpoS,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,tkt,Transketolase,2.2.1.1,Acidithiobacillus
NC_011761.1,,Ferredoxin 1,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,putative membrane protein/MT1776,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,alkA_1,DNA-3-methyladenine glycosylase,3.2.2.21,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,epsJ,putative glycosyltransferase EpsJ,2.4.-.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,NADH dehydrogenase-like protein,1.6.99.-,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,livQ,6'''-hydroxyparomomycin C oxidase,1.1.3.-,Acidithiobacillus
NC_011761.1,gdhI_1,Glucose 1-dehydrogenase 1,1.1.1.47,Acidithiobacillus
NC_011761.1,cga_1,Glucoamylase precursor,3.2.1.3,Acidithiobacillus
NC_011761.1,,Putative pterin-4-alpha-carbinolamine dehydratase,4.2.1.96,Acidithiobacillus
NC_011761.1,copZ,Copper chaperone CopZ,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,lexA_2,LexA repressor,3.4.21.88,Acidithiobacillus
NC_011761.1,sulA,Cell division inhibitor SulA,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,dnaE2,Error-prone DNA polymerase,2.7.7.7,Acidithiobacillus
NC_011761.1,dsbG_4,Thiol:disulfide interchange protein DsbG precursor,,Acidithiobacillus
NC_011761.1,pepN,Aminopeptidase N,3.4.11.2,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,soj_2,Chromosome-partitioning ATPase Soj,3.6.-.-,Acidithiobacillus
NC_011761.1,ppk,Polyphosphate kinase,2.7.4.1,Acidithiobacillus
NC_011761.1,folD,Bifunctional protein FolD protein,,Acidithiobacillus
NC_011761.1,bepE_2,Efflux pump membrane transporter BepE,,Acidithiobacillus
NC_011761.1,mdtA_1,Multidrug resistance protein MdtA precursor,,Acidithiobacillus
NC_011761.1,oprM_1,Outer membrane protein OprM precursor,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,yceF,Maf-like protein YceF,,Acidithiobacillus
NC_011761.1,ppc,Phosphoenolpyruvate carboxylase,4.1.1.31,Acidithiobacillus
NC_011761.1,hfq,RNA-binding protein Hfq,,Acidithiobacillus
NC_011761.1,hflX,GTPase HflX,,Acidithiobacillus
NC_011761.1,hflK_1,Modulator of FtsH protease HflK,,Acidithiobacillus
NC_011761.1,hflC,Modulator of FtsH protease HflC,,Acidithiobacillus
NC_011761.1,hisZ,ATP phosphoribosyltransferase regulatory subunit,,Acidithiobacillus
NC_011761.1,purA,Adenylosuccinate synthetase,6.3.4.4,Acidithiobacillus
NC_011761.1,,tRNA-Leu(cag),,Acidithiobacillus
NC_011761.1,rnr,Ribonuclease R,3.1.13.1,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
NC_011761.1,pdhD_1,Dihydrolipoyl dehydrogenase,1.8.1.4,Acidithiobacillus
NC_011761.1,cinA,Putative competence-damage inducible protein,,Acidithiobacillus
NC_011761.1,,hypothetical protein,,Acidithiobacillus
